No,Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K1(knots)
1,14/5/2023,19:00,1.3502,126.5187,304,11.1
2,14/5/2023,19:06,1.36047,126.50346,304,11.1
3,14/5/2023,19:12,1.37074,126.48822,304,11.1
4,14/5/2023,19:18,1.38101,126.47298,304,11.1
5,14/5/2023,19:24,1.39128,126.45774,304,11.1
6,14/5/2023,19:30,1.40155,126.4425,304,11.1
7,14/5/2023,19:36,1.41181,126.42726,304,11.1
8,14/5/2023,19:42,1.42208,126.41202,304,11.1
9,14/5/2023,19:48,1.43235,126.39678,304,11.1
10,14/5/2023,19:54,1.44262,126.38154,304,11.1
11,14/5/2023,20:00,1.45289,126.3663,304,11.1
571,17/5/2023,4:00,7.20353,117.83206,304,11.1
572,17/5/2023,4:06,7.2138,117.81682,304,11.1
573,17/5/2023,4:12,7.22407,117.80158,304,11.1
574,17/5/2023,4:18,7.23434,117.78634,304,11.1
575,17/5/2023,4:24,7.24461,117.7711,304,11.1
576,17/5/2023,4:30,7.25488,117.75586,304,11.1
577,17/5/2023,4:36,7.26514,117.74062,304,11.1
578,17/5/2023,4:42,7.27541,117.72538,304,11.1
579,17/5/2023,4:48,7.28568,117.71015,304,11.1
580,17/5/2023,4:54,7.29595,117.69491,304,11.1
581,17/5/2023,5:00,7.30622,117.67967,304,11.1
582,17/5/2023,5:06,7.31649,117.66443,304,11.1
583,17/5/2023,5:12,7.32676,117.64919,304,11.1
584,17/5/2023,5:18,7.33703,117.63395,304,11.1
585,17/5/2023,5:24,7.3473,117.61871,304,11.1
586,17/5/2023,5:30,7.35757,117.60347,304,11.1
587,17/5/2023,5:36,7.36783,117.58823,304,11.1
588,17/5/2023,5:42,7.3781,117.57299,304,11.1
589,17/5/2023,5:48,7.38837,117.55775,304,11.1
590,17/5/2023,5:54,7.39864,117.54251,304,11.1
591,17/5/2023,6:00,7.40891,117.52727,304,11.1
592,17/5/2023,6:06,7.41918,117.51203,304,11.1
593,17/5/2023,6:12,7.42945,117.49679,304,11.1
594,17/5/2023,6:18,7.43972,117.48155,304,11.1
595,17/5/2023,6:24,7.44999,117.46631,304,11.1
596,17/5/2023,6:30,7.46026,117.45107,304,11.1
597,17/5/2023,6:36,7.47052,117.43583,304,11.1
598,17/5/2023,6:42,7.48079,117.42059,304,11.1
599,17/5/2023,6:48,7.49106,117.40535,304,11.1
600,17/5/2023,6:54,7.50133,117.39011,304,11.1
601,17/5/2023,7:00,7.5116,117.37487,304,11.1
602,17/5/2023,7:06,7.52187,117.35963,304,11.1
603,17/5/2023,7:12,7.53214,117.34439,304,11.1
604,17/5/2023,7:18,7.54241,117.32915,304,11.1
605,17/5/2023,7:24,7.55268,117.31391,304,11.1
606,17/5/2023,7:30,7.56295,117.29867,304,11.1
607,17/5/2023,7:36,7.57321,117.28343,304,11.1
608,17/5/2023,7:42,7.58348,117.26819,304,11.1
609,17/5/2023,7:48,7.59375,117.25295,304,11.1
610,17/5/2023,7:54,7.60402,117.23771,304,11.1
611,17/5/2023,8:00,7.61429,117.22247,304,11.1
612,17/5/2023,8:06,7.62456,117.20723,304,11.1
613,17/5/2023,8:12,7.63483,117.19199,304,11.1
614,17/5/2023,8:18,7.6451,117.17676,304,11.1
615,17/5/2023,8:24,7.65537,117.16152,304,11.1
616,17/5/2023,8:30,7.66564,117.14628,304,11.1
617,17/5/2023,8:36,7.6759,117.13104,304,11.1
618,17/5/2023,8:42,7.68617,117.1158,304,11.1
619,17/5/2023,8:48,7.69644,117.10056,304,11.1
620,17/5/2023,8:54,7.70671,117.08532,304,11.1
621,17/5/2023,9:00,7.71698,117.07008,304,11.1
622,17/5/2023,9:06,7.72725,117.05484,304,11.1
623,17/5/2023,9:12,7.73752,117.0396,304,11.1
624,17/5/2023,9:18,7.74779,117.02436,304,11.1
625,17/5/2023,9:24,7.75806,117.00912,304,11.1
626,17/5/2023,9:30,7.76833,116.99388,304,11.1
627,17/5/2023,9:36,7.77859,116.97864,304,11.1
628,17/5/2023,9:42,7.78886,116.9634,304,11.1
629,17/5/2023,9:48,7.79913,116.94816,304,11.1
630,17/5/2023,9:54,7.8094,116.93292,304,11.1
631,17/5/2023,10:00,7.81967,116.91768,304,11.1
632,17/5/2023,10:06,7.82994,116.90244,304,11.1
633,17/5/2023,10:12,7.84021,116.8872,304,11.1
634,17/5/2023,10:18,7.85048,116.87196,304,11.1
635,17/5/2023,10:24,7.86075,116.85672,304,11.1
636,17/5/2023,10:30,7.87102,116.84148,304,11.1
637,17/5/2023,10:36,7.88128,116.82624,304,11.1
638,17/5/2023,10:42,7.89155,116.811,304,11.1
639,17/5/2023,10:48,7.90182,116.79576,304,11.1
640,17/5/2023,10:54,7.91209,116.78052,304,11.1
641,17/5/2023,11:00,7.92236,116.76528,304,11.1
642,17/5/2023,11:06,7.93263,116.75004,304,11.1
643,17/5/2023,11:12,7.9429,116.7348,304,11.1
644,17/5/2023,11:18,7.95317,116.71956,304,11.1
645,17/5/2023,11:24,7.96344,116.70432,304,11.1
646,17/5/2023,11:30,7.97371,116.68908,304,11.1
647,17/5/2023,11:36,7.98397,116.67384,304,11.1
648,17/5/2023,11:42,7.99424,116.6586,304,11.1
649,17/5/2023,11:48,8.00451,116.64337,304,11.1
650,17/5/2023,11:54,8.01478,116.62813,304,11.1
651,17/5/2023,12:00,8.02505,116.61289,304,11.1
652,17/5/2023,12:06,8.03532,116.59765,304,11.1
653,17/5/2023,12:12,8.04559,116.58241,304,11.1
