No,Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K2(knots)
1,14/5/2023,19:00,3.17699,123.22203,53,0
2,14/5/2023,19:06,3.17699,123.22203,53,0
3,14/5/2023,19:12,3.17699,123.22203,53,0
4,14/5/2023,19:18,3.17699,123.22203,53,0
5,14/5/2023,19:24,3.17699,123.22203,53,0
6,14/5/2023,19:30,3.17699,123.22203,53,0
7,14/5/2023,19:36,3.17699,123.22203,53,0
8,14/5/2023,19:42,3.17699,123.22203,53,0
9,14/5/2023,19:48,3.17699,123.22203,53,0
10,14/5/2023,19:54,3.17699,123.22203,53,0
11,14/5/2023,20:00,3.17699,123.22203,53,0
12,14/5/2023,20:06,3.17699,123.22203,53,0
13,14/5/2023,20:12,3.17699,123.22203,53,0
14,14/5/2023,20:18,3.17699,123.22203,53,0
15,14/5/2023,20:24,3.17699,123.22203,53,0
16,14/5/2023,20:30,3.17699,123.22203,53,0
17,14/5/2023,20:36,3.17699,123.22203,53,0
18,14/5/2023,20:42,3.17699,123.22203,53,0
19,14/5/2023,20:48,3.17699,123.22203,53,0
20,14/5/2023,20:54,3.17699,123.22203,53,0
21,14/5/2023,21:00,3.17699,123.22203,53,0
22,14/5/2023,21:06,3.17699,123.22203,53,0
23,14/5/2023,21:12,3.17699,123.22203,53,0
24,14/5/2023,21:18,3.17699,123.22203,53,0
25,14/5/2023,21:24,3.17699,123.22203,53,0
26,14/5/2023,21:30,3.17699,123.22203,53,0
27,14/5/2023,21:36,3.17699,123.22203,53,0
28,14/5/2023,21:42,3.17699,123.22203,53,0
29,14/5/2023,21:48,3.17699,123.22203,53,0
30,14/5/2023,21:54,3.17699,123.22203,53,0
31,14/5/2023,22:00,3.17699,123.22203,53,0
32,14/5/2023,22:06,3.17699,123.22203,53,0
33,14/5/2023,22:12,3.17699,123.22203,53,0
34,14/5/2023,22:18,3.17699,123.22203,53,0
35,14/5/2023,22:24,3.17699,123.22203,53,0
36,14/5/2023,22:30,3.17699,123.22203,53,0
37,14/5/2023,22:36,3.17699,123.22203,53,0
38,14/5/2023,22:42,3.17699,123.22203,53,0
39,14/5/2023,22:48,3.17699,123.22203,53,0
40,14/5/2023,22:54,3.17699,123.22203,53,0
41,14/5/2023,23:00,3.17699,123.22203,53,0
