Tanggal,Waktu,Latitude,Longitude,Heading,Kecepatan (knot)
14/5/2023,19:00,-0.6624,119.2017,0,11.1
14/5/2023,19:06,-0.64503087,119.2015491,0,11.1
14/5/2023,19:12,-0.627661739,119.2013983,0,11.1
14/5/2023,19:18,-0.610292609,119.2012474,0,11.1
14/5/2023,19:24,-0.592923478,119.2010965,0,11.1
14/5/2023,19:30,-0.575554348,119.2009457,0,11.1
14/5/2023,19:36,-0.558185217,119.2007948,0,11.1
14/5/2023,19:42,-0.540816087,119.2006439,0,11.1
14/5/2023,19:48,-0.523446957,119.200493,0,11.1
14/5/2023,19:54,-0.506077826,119.2003422,0,11.1
14/5/2023,20:00,-0.488708696,119.2001913,0,11.1
14/5/2023,20:06,-0.471339565,119.2000404,0,11.1
14/5/2023,20:12,-0.453970435,119.1998896,0,11.1
14/5/2023,20:18,-0.436601304,119.1997387,0,11.1
14/5/2023,20:24,-0.419232174,119.1995878,0,11.1
14/5/2023,20:30,-0.401863043,119.199437,0,11.1
14/5/2023,20:36,-0.384493913,119.1992861,0,11.1
14/5/2023,20:42,-0.367124783,119.1991352,0,11.1
14/5/2023,20:48,-0.349755652,119.1989843,0,11.1
14/5/2023,20:54,-0.332386522,119.1988335,0,11.1
14/5/2023,21:00,-0.315017391,119.1986826,0,11.1
14/5/2023,21:06,-0.297648261,119.1985317,0,11.1
14/5/2023,21:12,-0.28027913,119.1983809,0,11.1
14/5/2023,21:18,-0.26291,119.19823,0,11.1
14/5/2023,21:24,-0.24554087,119.1980791,0,11.1
14/5/2023,21:30,-0.228171739,119.1979283,0,11.1
14/5/2023,21:36,-0.210802609,119.1977774,0,11.1
14/5/2023,21:42,-0.193433478,119.1976265,0,11.1
14/5/2023,21:48,-0.176064348,119.1974757,0,11.1
14/5/2023,21:54,-0.158695217,119.1973248,0,11.1
14/5/2023,22:00,-0.141326087,119.1971739,0,11.1
14/5/2023,22:06,-0.123956957,119.197023,0,11.1
14/5/2023,22:12,-0.106587826,119.1968722,0,11.1
14/5/2023,22:18,-0.089218696,119.1967213,0,11.1
14/5/2023,22:24,-0.071849565,119.1965704,0,11.1
14/5/2023,22:30,-0.054480435,119.1964196,0,11.1
14/5/2023,22:36,-0.037111304,119.1962687,0,11.1
14/5/2023,22:42,-0.019742174,119.1961178,0,11.1
14/5/2023,22:48,-0.002373043,119.195967,0,11.1
14/5/2023,22:54,0.014996087,119.1958161,0,11.1
14/5/2023,23:00,0.032365217,119.1956652,0,11.1
14/5/2023,23:06,0.049734348,119.1955143,0,11.1
