Tanggal,Waktu,Latitude,Longitude,Heading,Kecepatan (knot)
14/5/2023,19:00,6.7971,128.1459,233,11.1
14/5/2023,19:06,6.7862288,128.1311136,233,11.1
14/5/2023,19:12,6.7753576,128.1163272,233,11.1
14/5/2023,19:18,6.7644864,128.1015408,233,11.1
14/5/2023,19:24,6.7536152,128.0867544,233,11.1
14/5/2023,19:30,6.742744,128.071968,233,11.1
14/5/2023,19:36,6.7318728,128.0571816,233,11.1
14/5/2023,19:42,6.7210016,128.0423952,233,11.1
14/5/2023,19:48,6.7101304,128.0276088,233,11.1
14/5/2023,19:54,6.6992592,128.0128224,233,11.1
14/5/2023,20:00,6.688388,127.998036,233,11.1
14/5/2023,20:06,6.6775168,127.9832496,233,11.1
14/5/2023,20:12,6.6666456,127.9684632,233,11.1
14/5/2023,20:18,6.6557744,127.9536768,233,11.1
14/5/2023,20:24,6.6449032,127.9388904,233,11.1
14/5/2023,20:30,6.634032,127.924104,233,11.1
14/5/2023,20:36,6.6231608,127.9093176,233,11.1
14/5/2023,20:42,6.6122896,127.8945312,233,11.1
14/5/2023,20:48,6.6014184,127.8797448,233,11.1
14/5/2023,20:54,6.5905472,127.8649584,233,11.1
14/5/2023,21:00,6.579676,127.850172,233,11.1
14/5/2023,21:06,6.5688048,127.8353856,233,11.1
14/5/2023,21:12,6.5579336,127.8205992,233,11.1
14/5/2023,21:18,6.5470624,127.8058128,233,11.1
14/5/2023,21:24,6.5361912,127.7910264,233,11.1
14/5/2023,21:30,6.52532,127.77624,233,11.1
14/5/2023,21:36,6.5144488,127.7614536,233,11.1
14/5/2023,21:42,6.5035776,127.7466672,233,11.1
14/5/2023,21:48,6.4927064,127.7318808,233,11.1
14/5/2023,21:54,6.4818352,127.7170944,233,11.1
14/5/2023,22:00,6.470964,127.702308,233,11.1
14/5/2023,22:06,6.4600928,127.6875216,233,11.1
14/5/2023,22:12,6.4492216,127.6727352,233,11.1
14/5/2023,22:18,6.4383504,127.6579488,233,11.1
14/5/2023,22:24,6.4274792,127.6431624,233,11.1
14/5/2023,22:30,6.416608,127.628376,233,11.1
14/5/2023,22:36,6.4057368,127.6135896,233,11.1
14/5/2023,22:42,6.3948656,127.5988032,233,11.1
14/5/2023,22:48,6.3839944,127.5840168,233,11.1
14/5/2023,22:54,6.3731232,127.5692304,233,11.1
14/5/2023,23:00,6.362252,127.554444,233,11.1
14/5/2023,23:06,6.3513808,127.5396576,233,11.1
14/5/2023,23:12,6.3405096,127.5248712,233,11.1
