Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K1(knots)
14/5/2023,19:00,8.3221,116.4111,126,11.1
14/5/2023,19:06,8.31141,116.42603,126,11.1
14/5/2023,19:12,8.30072,116.44096,126,11.1
14/5/2023,19:18,8.29003,116.45589,126,11.1
14/5/2023,19:24,8.27934,116.47082,126,11.1
14/5/2023,19:30,8.26865,116.48575,126,11.1
14/5/2023,19:36,8.25796,116.50068,126,11.1
14/5/2023,19:42,8.24727,116.51561,126,11.1
14/5/2023,19:48,8.23658,116.53054,126,11.1
14/5/2023,19:54,8.22589,116.54547,126,11.1
14/5/2023,20:00,8.2152,116.5604,126,11.1
14/5/2023,20:06,8.20451,116.57533,126,11.1
14/5/2023,20:12,8.19382,116.59026,126,11.1
14/5/2023,20:18,8.18313,116.60519,126,11.1
14/5/2023,20:24,8.17244,116.62012,126,11.1
14/5/2023,20:30,8.16175,116.63505,126,11.1
14/5/2023,20:36,8.15106,116.64998,126,11.1
14/5/2023,20:42,8.14037,116.66491,126,11.1
14/5/2023,20:48,8.12968,116.67984,126,11.1
14/5/2023,20:54,8.11899,116.69477,126,11.1
14/5/2023,21:00,8.1083,116.7097,126,11.1
14/5/2023,21:06,8.09761,116.72463,126,11.1
14/5/2023,21:12,8.08692,116.73956,126,11.1
14/5/2023,21:18,8.07623,116.75449,126,11.1
14/5/2023,21:24,8.06554,116.76942,126,11.1
14/5/2023,21:30,8.05485,116.78435,126,11.1
14/5/2023,21:36,8.04416,116.79928,126,11.1
14/5/2023,21:42,8.03347,116.81421,126,11.1
14/5/2023,21:48,8.02278,116.82914,126,11.1
14/5/2023,21:54,8.01209,116.84407,126,11.1
14/5/2023,22:00,8.0014,116.859,126,11.1
14/5/2023,22:06,7.99071,116.87393,126,11.1
14/5/2023,22:12,7.98002,116.88886,126,11.1
14/5/2023,22:18,7.96933,116.90379,126,11.1
14/5/2023,22:24,7.95864,116.91872,126,11.1
14/5/2023,22:30,7.94795,116.93365,126,11.1
14/5/2023,22:36,7.93726,116.94858,126,11.1
14/5/2023,22:42,7.92657,116.96351,126,11.1
14/5/2023,22:48,7.91588,116.97844,126,11.1
14/5/2023,22:54,7.90519,116.99337,126,11.1
14/5/2023,23:00,7.8945,117.0083,126,11.1
14/5/2023,23:06,7.88381,117.02323,126,11.1
14/5/2023,23:12,7.87312,117.03816,126,11.1
14/5/2023,23:18,7.86243,117.05309,126,11.1
14/5/2023,23:24,7.85174,117.06802,126,11.1
14/5/2023,23:30,7.84105,117.08295,126,11.1
14/5/2023,23:36,7.83036,117.09788,126,11.1
14/5/2023,23:42,7.81967,117.11281,126,11.1
14/5/2023,23:48,7.80898,117.12774,126,11.1
14/5/2023,23:54,7.79829,117.14267,126,11.1
15/5/2023,0:00,7.7876,117.1576,126,11.1
15/5/2023,0:06,7.77691,117.17253,126,11.1
15/5/2023,0:12,7.76622,117.18746,126,11.1
15/5/2023,0:18,7.75553,117.20239,126,11.1
15/5/2023,0:24,7.74484,117.21732,126,11.1
15/5/2023,0:30,7.73415,117.23225,126,11.1
15/5/2023,0:36,7.72346,117.24718,126,11.1
15/5/2023,0:42,7.71277,117.26211,126,11.1
15/5/2023,0:48,7.70208,117.27704,126,11.1
15/5/2023,0:54,7.69139,117.29197,126,11.1
15/5/2023,1:00,7.6807,117.3069,126,11.1
15/5/2023,1:06,7.67001,117.32183,126,11.1
