Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K1(knots)
14/5/2023,19:00,3.84161,118.94475,90,5
14/5/2023,19:06,3.84161,118.9538,90,5
14/5/2023,19:12,3.84161,118.96285,90,5
14/5/2023,19:18,3.84161,118.9719,90,5
14/5/2023,19:24,3.84161,118.98095,90,5
14/5/2023,19:30,3.84161,118.99,90,5
14/5/2023,19:36,3.84161,118.99905,90,5
14/5/2023,19:42,3.84161,119.0081,90,5
14/5/2023,19:48,3.84161,119.01715,90,5
14/5/2023,19:54,3.84161,119.0262,90,5
14/5/2023,20:00,3.84161,119.03525,90,5
14/5/2023,20:06,3.84161,119.0443,90,5
14/5/2023,20:12,3.84161,119.05335,90,5
14/5/2023,20:18,3.84161,119.0624,90,5
14/5/2023,20:24,3.84161,119.07145,90,5
14/5/2023,20:30,3.84161,119.0805,90,5
14/5/2023,20:36,3.84161,119.08955,90,5
14/5/2023,20:42,3.84161,119.0986,90,5
14/5/2023,20:48,3.84161,119.10765,90,5
14/5/2023,20:54,3.84161,119.1167,90,5
14/5/2023,21:00,3.84161,119.12575,90,5
14/5/2023,21:06,3.84161,119.1348,90,5
14/5/2023,21:12,3.84161,119.14385,90,5
14/5/2023,21:18,3.84161,119.1529,90,5
14/5/2023,21:24,3.84161,119.16195,90,5
14/5/2023,21:30,3.84161,119.171,90,5
14/5/2023,21:36,3.84161,119.18005,90,5
14/5/2023,21:42,3.84161,119.1891,90,5
14/5/2023,21:48,3.84161,119.19815,90,5
14/5/2023,21:54,3.84161,119.2072,90,5
14/5/2023,22:00,3.84161,119.21625,90,5
14/5/2023,22:06,3.84161,119.2253,90,5
14/5/2023,22:12,3.84161,119.23435,90,5
14/5/2023,22:18,3.84161,119.2434,90,5
14/5/2023,22:24,3.84161,119.25245,90,5
14/5/2023,22:30,3.84161,119.2615,90,5
14/5/2023,22:36,3.84161,119.27055,90,5
14/5/2023,22:42,3.84161,119.2796,90,5
14/5/2023,22:48,3.84161,119.28865,90,5
14/5/2023,22:54,3.84161,119.2977,90,5
14/5/2023,23:00,3.84161,119.30675,90,5
14/5/2023,23:06,3.84161,119.3158,90,5
14/5/2023,23:12,3.84161,119.32485,90,5
14/5/2023,23:18,3.84161,119.3339,90,5
14/5/2023,23:24,3.84161,119.34295,90,5
14/5/2023,23:30,3.84161,119.352,90,5
14/5/2023,23:36,3.84161,119.36105,90,5
14/5/2023,23:42,3.84161,119.3701,90,5
14/5/2023,23:48,3.84161,119.37915,90,5
14/5/2023,23:54,3.84161,119.3882,90,5
15/5/2023,0:00,3.84161,119.39725,90,5
15/5/2023,0:06,3.84161,119.4063,90,5
15/5/2023,0:12,3.84161,119.41535,90,5
15/5/2023,0:18,3.84161,119.4244,90,5
15/5/2023,0:24,3.84161,119.43345,90,5
15/5/2023,0:30,3.84161,119.4425,90,5
15/5/2023,0:36,3.84161,119.45155,90,5
15/5/2023,0:42,3.84161,119.4606,90,5
15/5/2023,0:48,3.84161,119.46965,90,5
15/5/2023,0:54,3.84161,119.4787,90,5
15/5/2023,1:00,3.84161,119.48775,90,5
15/5/2023,1:06,3.84161,119.4968,90,5
15/5/2023,1:12,3.84161,119.50585,90,5
15/5/2023,1:18,3.84161,119.5149,90,5
15/5/2023,1:24,3.84161,119.52395,90,5
15/5/2023,1:30,3.84161,119.533,90,5
15/5/2023,1:36,3.84161,119.54205,90,5
15/5/2023,1:42,3.84161,119.5511,90,5
15/5/2023,1:48,3.84161,119.56015,90,5
15/5/2023,1:54,3.84161,119.5692,90,5
15/5/2023,2:00,3.84161,119.57825,90,5
15/5/2023,2:06,3.84161,119.5873,90,5
15/5/2023,2:12,3.84161,119.59635,90,5
15/5/2023,2:18,3.84161,119.6054,90,5
15/5/2023,2:24,3.84161,119.61445,90,5
15/5/2023,2:30,3.84161,119.6235,90,5
15/5/2023,2:36,3.84161,119.63255,90,5
15/5/2023,2:42,3.84161,119.6416,90,5
15/5/2023,2:48,3.84161,119.65065,90,5
15/5/2023,2:54,3.84161,119.6597,90,5
15/5/2023,3:00,3.84161,119.66875,90,5
15/5/2023,3:06,3.84161,119.6778,90,5
15/5/2023,3:12,3.84161,119.68685,90,5
15/5/2023,3:18,3.84161,119.6959,90,5
15/5/2023,3:24,3.84161,119.70495,90,5
15/5/2023,3:30,3.84161,119.714,90,5
15/5/2023,3:36,3.84161,119.72305,90,5
15/5/2023,3:42,3.84161,119.7321,90,5
15/5/2023,3:48,3.84161,119.74115,90,5
15/5/2023,3:54,3.84161,119.7502,90,5
15/5/2023,4:00,3.84161,119.75925,90,5
15/5/2023,4:06,3.84161,119.7683,90,5
15/5/2023,4:12,3.84161,119.77735,90,5
15/5/2023,4:18,3.84161,119.7864,90,5
15/5/2023,4:24,3.84161,119.79545,90,5
15/5/2023,4:30,3.84161,119.8045,90,5
15/5/2023,4:36,3.84161,119.81355,90,5
15/5/2023,4:42,3.84161,119.8226,90,5
15/5/2023,4:48,3.84161,119.83165,90,5
15/5/2023,4:54,3.84161,119.8407,90,5
15/5/2023,5:00,3.84161,119.84975,90,5
15/5/2023,5:06,3.84161,119.8588,90,5
15/5/2023,5:12,3.84161,119.86785,90,5
15/5/2023,5:18,3.84161,119.8769,90,5
15/5/2023,5:24,3.84161,119.88595,90,5
15/5/2023,5:30,3.84161,119.895,90,5
15/5/2023,5:36,3.84161,119.90405,90,5
15/5/2023,5:42,3.84161,119.9131,90,5
15/5/2023,5:48,3.84161,119.92215,90,5
15/5/2023,5:54,3.84161,119.9312,90,5
15/5/2023,6:00,3.84161,119.94025,90,5
15/5/2023,6:06,3.84161,119.9493,90,5
15/5/2023,6:12,3.84161,119.95835,90,5
