Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K2(knots)
14/5/2023,19:00,3.0396,124.0484,305,5
14/5/2023,19:06,3.04433,124.04152,305,5
14/5/2023,19:12,3.04906,124.03465,305,5
14/5/2023,19:18,3.05379,124.02777,305,5
14/5/2023,19:24,3.05852,124.02089,305,5
14/5/2023,19:30,3.06325,124.01402,305,5
14/5/2023,19:36,3.06799,124.00714,305,5
14/5/2023,19:42,3.07272,124.00026,305,5
14/5/2023,19:48,3.07745,123.99338,305,5
14/5/2023,19:54,3.08218,123.98651,305,5
14/5/2023,20:00,3.08691,123.97963,305,5
14/5/2023,20:06,3.09164,123.97275,305,5
14/5/2023,20:12,3.09637,123.96588,305,5
14/5/2023,20:18,3.1011,123.959,305,5
14/5/2023,20:24,3.10583,123.95212,305,5
14/5/2023,20:30,3.11056,123.94525,305,5
14/5/2023,20:36,3.11529,123.93837,305,5
14/5/2023,20:42,3.12002,123.93149,305,5
14/5/2023,20:48,3.12476,123.92461,305,5
14/5/2023,20:54,3.12949,123.91774,305,5
14/5/2023,21:00,3.13422,123.91086,305,5
14/5/2023,21:06,3.13895,123.90398,305,5
14/5/2023,21:12,3.14368,123.89711,305,5
14/5/2023,21:18,3.14841,123.89023,305,5
14/5/2023,21:24,3.15314,123.88335,305,5
14/5/2023,21:30,3.15787,123.87648,305,5
14/5/2023,21:36,3.1626,123.8696,305,5
14/5/2023,21:42,3.16733,123.86272,305,5
14/5/2023,21:48,3.17206,123.85584,305,5
14/5/2023,21:54,3.17679,123.84897,305,5
14/5/2023,22:00,3.18153,123.84209,305,5
14/5/2023,22:06,3.18626,123.83521,305,5
14/5/2023,22:12,3.19099,123.82834,305,5
14/5/2023,22:18,3.19572,123.82146,305,5
14/5/2023,22:24,3.20045,123.81458,305,5
14/5/2023,22:30,3.20518,123.80771,305,5
14/5/2023,22:36,3.20991,123.80083,305,5
14/5/2023,22:42,3.21464,123.79395,305,5
14/5/2023,22:48,3.21937,123.78707,305,5
14/5/2023,22:54,3.2241,123.7802,305,5
14/5/2023,23:00,3.22883,123.77332,305,5
14/5/2023,23:06,3.23357,123.76644,305,5
14/5/2023,23:12,3.2383,123.75957,305,5
14/5/2023,23:18,3.24303,123.75269,305,5
14/5/2023,23:24,3.24776,123.74581,305,5
14/5/2023,23:30,3.25249,123.73894,305,5
14/5/2023,23:36,3.25722,123.73206,305,5
14/5/2023,23:42,3.26195,123.72518,305,5
14/5/2023,23:48,3.26668,123.7183,305,5
14/5/2023,23:54,3.27141,123.71143,305,5
15/5/2023,0:00,3.27614,123.70455,305,5
15/5/2023,0:06,3.28087,123.69767,305,5
15/5/2023,0:12,3.2856,123.6908,305,5
15/5/2023,0:18,3.29034,123.68392,305,5
15/5/2023,0:24,3.29507,123.67704,305,5
15/5/2023,0:30,3.2998,123.67017,305,5
15/5/2023,0:36,3.30453,123.66329,305,5
15/5/2023,0:42,3.30926,123.65641,305,5
15/5/2023,0:48,3.31399,123.64953,305,5
15/5/2023,0:54,3.31872,123.64266,305,5
15/5/2023,1:00,3.32345,123.63578,305,5
15/5/2023,1:06,3.32818,123.6289,305,5
15/5/2023,1:12,3.33291,123.62203,305,5
15/5/2023,1:18,3.33764,123.61515,305,5
15/5/2023,1:24,3.34237,123.60827,305,5
15/5/2023,1:30,3.34711,123.6014,305,5
15/5/2023,1:36,3.35184,123.59452,305,5
15/5/2023,1:42,3.35657,123.58764,305,5
15/5/2023,1:48,3.3613,123.58076,305,5
15/5/2023,1:54,3.36603,123.57389,305,5
15/5/2023,2:00,3.37076,123.56701,305,5
15/5/2023,2:06,3.37549,123.56013,305,5
15/5/2023,2:12,3.38022,123.55326,305,5
15/5/2023,2:18,3.38495,123.54638,305,5
15/5/2023,2:24,3.38968,123.5395,305,5
15/5/2023,2:30,3.39441,123.53263,305,5
15/5/2023,2:36,3.39915,123.52575,305,5
15/5/2023,2:42,3.40388,123.51887,305,5
15/5/2023,2:48,3.40861,123.51199,305,5
15/5/2023,2:54,3.41334,123.50512,305,5
15/5/2023,3:00,3.41807,123.49824,305,5
15/5/2023,3:06,3.4228,123.49136,305,5
15/5/2023,3:12,3.42753,123.48449,305,5
15/5/2023,3:18,3.43226,123.47761,305,5
15/5/2023,3:24,3.43699,123.47073,305,5
15/5/2023,3:30,3.44172,123.46386,305,5
15/5/2023,3:36,3.44645,123.45698,305,5
15/5/2023,3:42,3.45118,123.4501,305,5
15/5/2023,3:48,3.45592,123.44322,305,5
15/5/2023,3:54,3.46065,123.43635,305,5
15/5/2023,4:00,3.46538,123.42947,305,5
15/5/2023,4:06,3.47011,123.42259,305,5
15/5/2023,4:12,3.47484,123.41572,305,5
15/5/2023,4:18,3.47957,123.40884,305,5
15/5/2023,4:24,3.4843,123.40196,305,5
15/5/2023,4:30,3.48903,123.39509,305,5
15/5/2023,4:36,3.49376,123.38821,305,5
15/5/2023,4:42,3.49849,123.38133,305,5
15/5/2023,4:48,3.50322,123.37445,305,5
15/5/2023,4:54,3.50795,123.36758,305,5
15/5/2023,5:00,3.51269,123.3607,305,5
15/5/2023,5:06,3.51742,123.35382,305,5
15/5/2023,5:12,3.52215,123.34695,305,5
15/5/2023,5:18,3.52688,123.34007,305,5
15/5/2023,5:24,3.53161,123.33319,305,5
