Tanggal,Waktu,Latitude,Longitude,Heading,Kecepatan (knot)
14/5/2023,19:00,3.22047,121.73338,44,11.1
14/5/2023,19:06,3.22047,121.73338,44,11.1
14/5/2023,19:12,3.22047,121.73338,44,11.1
14/5/2023,19:18,3.22047,121.73338,44,11.1
14/5/2023,19:24,3.22047,121.73338,44,11.1
14/5/2023,19:30,3.22047,121.73338,44,11.1
14/5/2023,19:36,3.22047,121.73338,44,11.1
14/5/2023,19:42,3.22047,121.73338,44,11.1
14/5/2023,19:48,3.22047,121.73338,44,11.1
14/5/2023,19:54,3.22047,121.73338,44,11.1
14/5/2023,20:00,3.22047,121.73338,44,11.1
14/5/2023,20:06,3.22047,121.73338,44,11.1
14/5/2023,20:12,3.22047,121.73338,44,11.1
14/5/2023,20:18,3.22047,121.73338,44,11.1
14/5/2023,20:24,3.22047,121.73338,44,11.1
14/5/2023,20:30,3.22047,121.73338,44,11.1
14/5/2023,20:36,3.22047,121.73338,44,11.1
14/5/2023,20:42,3.22047,121.73338,44,11.1
14/5/2023,20:48,3.22047,121.73338,44,11.1
14/5/2023,20:54,3.22047,121.73338,44,11.1
14/5/2023,21:00,3.22047,121.73338,44,11.1
14/5/2023,21:06,3.22047,121.73338,44,11.1
14/5/2023,21:12,3.22047,121.73338,44,11.1
14/5/2023,21:18,3.22047,121.73338,44,11.1
14/5/2023,21:24,3.22047,121.73338,44,11.1
14/5/2023,21:30,3.22047,121.73338,44,11.1
14/5/2023,21:36,3.22047,121.73338,44,11.1
14/5/2023,21:42,3.22047,121.73338,44,11.1
14/5/2023,21:48,3.22047,121.73338,44,11.1
14/5/2023,21:54,3.22047,121.73338,44,11.1
14/5/2023,22:00,3.22047,121.73338,44,11.1
14/5/2023,22:06,3.22047,121.73338,44,11.1
14/5/2023,22:12,3.22047,121.73338,44,11.1
14/5/2023,22:18,3.22047,121.73338,44,11.1
14/5/2023,22:24,3.22047,121.73338,44,11.1
14/5/2023,22:30,3.22047,121.73338,44,11.1
14/5/2023,22:36,3.22047,121.73338,44,11.1
14/5/2023,22:42,3.22047,121.73338,44,11.1
14/5/2023,22:48,3.22047,121.73338,44,11.1
14/5/2023,22:54,3.22047,121.73338,44,11.1
14/5/2023,23:00,3.22047,121.73338,44,11.1
14/5/2023,23:06,3.22047,121.73338,44,11.1
14/5/2023,23:12,3.22047,121.73338,44,11.1
14/5/2023,23:18,3.22047,121.73338,44,11.1
14/5/2023,23:24,3.22047,121.73338,44,11.1
14/5/2023,23:30,3.22047,121.73338,44,11.1
14/5/2023,23:36,3.22047,121.73338,44,11.1
14/5/2023,23:42,3.22047,121.73338,44,11.1
14/5/2023,23:48,3.22047,121.73338,44,11.1
14/5/2023,23:54,3.22047,121.73338,44,11.1
15/5/2023,0:00,3.22047,121.73338,44,11.1
15/5/2023,0:06,3.22047,121.73338,44,11.1
15/5/2023,0:12,3.22047,121.73338,44,11.1
15/5/2023,0:18,3.22047,121.73338,44,11.1
15/5/2023,0:24,3.22047,121.73338,44,11.1
15/5/2023,0:30,3.22047,121.73338,44,11.1
15/5/2023,0:36,3.22047,121.73338,44,11.1
15/5/2023,0:42,3.22047,121.73338,44,11.1
15/5/2023,0:48,3.22047,121.73338,44,11.1
15/5/2023,0:54,3.22047,121.73338,44,11.1
15/5/2023,1:00,3.22047,121.73338,44,11.1
15/5/2023,1:06,3.22047,121.73338,44,11.1
15/5/2023,1:12,3.22047,121.73338,44,11.1
15/5/2023,1:18,3.22047,121.73338,44,11.1
15/5/2023,1:24,3.22047,121.73338,44,11.1
15/5/2023,1:30,3.22047,121.73338,44,11.1
15/5/2023,1:36,3.22047,121.73338,44,11.1
15/5/2023,1:42,3.22047,121.73338,44,11.1
15/5/2023,1:48,3.22047,121.73338,44,11.1
15/5/2023,1:54,3.22047,121.73338,44,11.1
15/5/2023,2:00,3.22047,121.73338,44,11.1
15/5/2023,2:06,3.22047,121.73338,44,11.1
15/5/2023,2:12,3.22047,121.73338,44,11.1
15/5/2023,2:18,3.22047,121.73338,44,11.1
15/5/2023,2:24,3.22047,121.73338,44,11.1
15/5/2023,2:30,3.22047,121.73338,44,11.1
15/5/2023,2:36,3.22047,121.73338,44,11.1
15/5/2023,2:42,3.22047,121.73338,44,11.1
15/5/2023,2:48,3.22047,121.73338,44,11.1
15/5/2023,2:54,3.22047,121.73338,44,11.1
15/5/2023,3:00,3.22047,121.73338,44,11.1
15/5/2023,3:06,3.22047,121.73338,44,11.1
15/5/2023,3:12,3.22047,121.73338,44,11.1
