No,Tanggal,Pukul,Jarak(m),Delhead,delV,Vw,s(JarakPandang) 
1,14/5/2023,19:00,226.518082,1,6.1,,
2,14/5/2023,19:06,224.2469206,1,6.1,,
3,14/5/2023,19:12,221.990993,1,6.1,,
4,14/5/2023,19:18,219.7502479,1,6.1,,
5,14/5/2023,19:24,217.5246342,1,6.1,,
6,14/5/2023,19:30,215.3141007,1,6.1,,
7,14/5/2023,19:36,213.1185963,1,6.1,,
8,14/5/2023,19:42,210.9380697,1,6.1,,
9,14/5/2023,19:48,208.7724698,1,6.1,,
10,14/5/2023,19:54,206.6217455,1,6.1,,
11,14/5/2023,20:00,204.4858455,1,6.1,,
12,14/5/2023,20:06,202.3647186,1,6.1,,
13,14/5/2023,20:12,200.2583137,1,6.1,,
14,14/5/2023,20:18,198.1665796,1,6.1,,
15,14/5/2023,20:24,196.0894651,1,6.1,,
16,14/5/2023,20:30,194.026919,1,6.1,,
17,14/5/2023,20:36,191.9788901,1,6.1,,
18,14/5/2023,20:42,189.9453271,1,6.1,,
19,14/5/2023,20:48,187.926179,1,6.1,,
20,14/5/2023,20:54,185.9213945,1,6.1,,
21,14/5/2023,21:00,183.9309223,1,6.1,,
22,14/5/2023,21:06,181.9547113,1,6.1,,
23,14/5/2023,21:12,179.9927103,1,6.1,,
24,14/5/2023,21:18,178.044868,1,6.1,,
25,14/5/2023,21:24,176.1111333,1,6.1,,
26,14/5/2023,21:30,174.1914549,1,6.1,,
27,14/5/2023,21:36,172.2857816,1,6.1,,
28,14/5/2023,21:42,170.3940621,1,6.1,,
29,14/5/2023,21:48,168.5162453,1,6.1,,
30,14/5/2023,21:54,166.6522799,1,6.1,,
31,14/5/2023,22:00,164.8021146,1,6.1,,
32,14/5/2023,22:06,162.9656984,1,6.1,,
33,14/5/2023,22:12,161.1429798,1,6.1,,
34,14/5/2023,22:18,159.3339077,1,6.1,,
35,14/5/2023,22:24,157.5384309,1,6.1,,
36,14/5/2023,22:30,155.7564981,1,6.1,,
37,14/5/2023,22:36,153.988058,1,6.1,,
38,14/5/2023,22:42,152.2330594,1,6.1,,
39,14/5/2023,22:48,150.4914511,1,6.1,,
40,14/5/2023,22:54,148.7631818,1,6.1,,
