No,Tanggal,Pukul,Jarak(m),Delhead,delV,Vw,s(JarakPandang) 
1,14/5/2023,19:00,981.719796,51,6.1,,
2,14/5/2023,19:06,972.2114959,51,6.1,,
3,14/5/2023,19:12,962.7655924,51,6.1,,
4,14/5/2023,19:18,953.3818785,51,6.1,,
5,14/5/2023,19:24,944.0601472,51,6.1,,
6,14/5/2023,19:30,934.8001913,51,6.1,,
7,14/5/2023,19:36,925.6018038,51,6.1,,
8,14/5/2023,19:42,916.4647776,51,6.1,,
9,14/5/2023,19:48,907.3889057,51,6.1,,
10,14/5/2023,19:54,898.3739809,51,6.1,,
11,14/5/2023,20:00,889.419796,51,6.1,,
12,14/5/2023,20:06,880.526144,51,6.1,,
13,14/5/2023,20:12,871.6928177,51,6.1,,
14,14/5/2023,20:18,862.9196098,51,6.1,,
15,14/5/2023,20:24,854.2063133,51,6.1,,
16,14/5/2023,20:30,845.552721,51,6.1,,
17,14/5/2023,20:36,836.9586255,51,6.1,,
18,14/5/2023,20:42,828.4238196,51,6.1,,
19,14/5/2023,20:48,819.9480962,51,6.1,,
20,14/5/2023,20:54,811.531248,51,6.1,,
21,14/5/2023,21:00,803.1730676,51,6.1,,
22,14/5/2023,21:06,794.8733479,51,6.1,,
23,14/5/2023,21:12,786.6318814,51,6.1,,
24,14/5/2023,21:18,778.4484609,51,6.1,,
25,14/5/2023,21:24,770.3228791,51,6.1,,
26,14/5/2023,21:30,762.2549285,51,6.1,,
27,14/5/2023,21:36,754.2444019,51,6.1,,
28,14/5/2023,21:42,746.2910919,51,6.1,,
29,14/5/2023,21:48,738.3947911,51,6.1,,
30,14/5/2023,21:54,730.555292,51,6.1,,
31,14/5/2023,22:00,722.7723873,51,6.1,,
32,14/5/2023,22:06,715.0458696,51,6.1,,
33,14/5/2023,22:12,707.3755313,51,6.1,,
34,14/5/2023,22:18,699.7611652,51,6.1,,
35,14/5/2023,22:24,692.2025636,51,6.1,,
36,14/5/2023,22:30,684.6995191,51,6.1,,
37,14/5/2023,22:36,677.2518242,51,6.1,,
38,14/5/2023,22:42,669.8592714,51,6.1,,
39,14/5/2023,22:48,662.5216533,51,6.1,,
40,14/5/2023,22:54,655.2387621,51,6.1,,
41,14/5/2023,23:00,648.0103905,51,6.1,,
42,14/5/2023,23:06,640.8363309,51,6.1,,
43,14/5/2023,23:12,633.7163756,51,6.1,,
44,14/5/2023,23:18,626.6503172,51,6.1,,
45,14/5/2023,23:24,619.637948,51,6.1,,
46,14/5/2023,23:30,612.6790603,51,6.1,,
47,14/5/2023,23:36,605.7734467,51,6.1,,
48,14/5/2023,23:42,598.9208994,51,6.1,,
49,14/5/2023,23:48,592.1212109,51,6.1,,
50,14/5/2023,23:54,585.3741734,51,6.1,,
51,15/5/2023,0:00,578.6795792,51,6.1,,
52,15/5/2023,0:06,572.0372209,51,6.1,,
53,15/5/2023,0:12,565.4468905,51,6.1,,
54,15/5/2023,0:18,558.9083805,51,6.1,,
55,15/5/2023,0:24,552.421483,51,6.1,,
56,15/5/2023,0:30,545.9859905,51,6.1,,
57,15/5/2023,0:36,539.6016951,51,6.1,,
58,15/5/2023,0:42,533.2683891,51,6.1,,
59,15/5/2023,0:48,526.9858648,51,6.1,,
