No,Tanggal,Pukul,Jarak(m),Delhead,delV,Vw,s(JarakPandang) 
1,14/5/2023,19:00,1914.442377,180,11.1,2,9
2,14/5/2023,19:06,1897.302652,180,11.1,2,9
3,14/5/2023,19:12,1880.265092,180,11.1,2,9
4,14/5/2023,19:18,1863.329397,180,11.1,2,9
5,14/5/2023,19:24,1846.495268,180,11.1,2,9
6,14/5/2023,19:30,1829.762406,180,11.1,2,9
7,14/5/2023,19:36,1813.130512,180,11.1,2,9
8,14/5/2023,19:42,1796.599287,180,11.1,2,9
9,14/5/2023,19:48,1780.16843,180,11.1,2,9
10,14/5/2023,19:54,1763.837642,180,11.1,2,9
11,14/5/2023,20:00,1747.606624,180,11.1,2,9
12,14/5/2023,20:06,1731.475076,180,11.1,2,9
13,14/5/2023,20:12,1715.442698,180,11.1,2,9
14,14/5/2023,20:18,1699.509191,180,11.1,2,9
15,14/5/2023,20:24,1683.674254,180,11.1,2,9
16,14/5/2023,20:30,1667.937588,180,11.1,2,9
17,14/5/2023,20:36,1652.298892,180,11.1,2,9
18,14/5/2023,20:42,1636.757866,180,11.1,2,9
19,14/5/2023,20:48,1621.314211,180,11.1,2,9
20,14/5/2023,20:54,1605.967626,180,11.1,2,9
21,14/5/2023,21:00,1590.717811,180,11.1,2,9
22,14/5/2023,21:06,1575.564465,180,11.1,2,9
23,14/5/2023,21:12,1560.507289,180,11.1,2,9
24,14/5/2023,21:18,1545.54598,180,11.1,2,9
25,14/5/2023,21:24,1530.68024,180,11.1,2,9
26,14/5/2023,21:30,1515.909767,180,11.1,2,9
27,14/5/2023,21:36,1501.23426,180,11.1,2,9
28,14/5/2023,21:42,1486.653419,180,11.1,2,9
29,14/5/2023,21:48,1472.166943,180,11.1,2,9
30,14/5/2023,21:54,1457.774531,180,11.1,2,9
31,14/5/2023,22:00,1443.475882,180,11.1,2,9
32,14/5/2023,22:06,1429.270696,180,11.1,2,9
33,14/5/2023,22:12,1415.15867,180,11.1,2,9
34,14/5/2023,22:18,1401.139503,180,11.1,2,9
35,14/5/2023,22:24,1387.212896,180,11.1,2,9
36,14/5/2023,22:30,1373.378545,180,11.1,2,9
37,14/5/2023,22:36,1359.636151,180,11.1,2,9
38,14/5/2023,22:42,1345.98541,180,11.1,2,9
39,14/5/2023,22:48,1332.426023,180,11.1,2,9
40,14/5/2023,22:54,1318.957687,180,11.1,2,9
41,14/5/2023,23:00,1305.580101,180,11.1,2,9
42,14/5/2023,23:06,1292.292963,180,11.1,2,9
43,14/5/2023,23:12,1279.095971,180,11.1,2,9
44,14/5/2023,23:18,1265.988823,180,11.1,2,9
45,14/5/2023,23:24,1252.971218,180,11.1,2,9
46,14/5/2023,23:30,1240.042853,180,11.1,2,9
47,14/5/2023,23:36,1227.203427,180,11.1,2,9
48,14/5/2023,23:42,1214.452638,180,11.1,2,9
49,14/5/2023,23:48,1201.790183,180,11.1,2,9
